	cell_type	image_path	mask_path	nuc_Elongation	nuc_MajorAxisLength	nuc_MaximumDiameter	nuc_MeshSurface	nuc_MinorAxisLength	nuc_Perimeter	nuc_PerimeterSurfaceRatio	nuc_PixelSurface	nuc_Sphericity	nuc_10Percentile	nuc_90Percentile	nuc_Energy	nuc_Entropy	nuc_InterquartileRange	nuc_Kurtosis	nuc_Maximum	nuc_MeanAbsoluteDeviation	nuc_Mean	nuc_Median	nuc_Minimum	nuc_Range	nuc_RobustMeanAbsoluteDeviation	nuc_RootMeanSquared	nuc_Skewness	nuc_TotalEnergy	nuc_Uniformity	nuc_Variance	cyt_Elongation	cyt_MajorAxisLength	cyt_MaximumDiameter	cyt_MeshSurface	cyt_MinorAxisLength	cyt_Perimeter	cyt_PerimeterSurfaceRatio	cyt_PixelSurface	cyt_Sphericity	cyt_10Percentile	cyt_90Percentile	cyt_Energy	cyt_Entropy	cyt_InterquartileRange	cyt_Kurtosis	cyt_Maximum	cyt_MeanAbsoluteDeviation	cyt_Mean	cyt_Median	cyt_Minimum	cyt_Range	cyt_RobustMeanAbsoluteDeviation	cyt_RootMeanSquared	cyt_Skewness	cyt_TotalEnergy	cyt_Uniformity	cyt_Variance	mix_Elongation	mix_MajorAxisLength	mix_MaximumDiameter	mix_MeshSurface	mix_MinorAxisLength	mix_Perimeter	mix_PerimeterSurfaceRatio	mix_PixelSurface	mix_Sphericity
0	APL	/home/mikweeh/PythonProjects/08-TFM/data/img/APL/img_1001.jpg	/home/mikweeh/PythonProjects/08-TFM/data/msk/APL/img_1001.png	0.5959864240455305	110.76040794248492	107.91200118615167	5554.5	66.01169945546576	356.19090885901113	0.06412654763867336	5555.0	0.741727851565344	63.0	105.0	39065750.0	1.5103133819459644	22.0	2.997783392545017	143.0	12.841708048392597	82.31539153915392	81.0	45.0	98.0	9.235031104160768	83.86023046608793	0.5418814709229232	39065750.0	0.39222131033985486	256.7145695811706	0.8001225931731114	139.18808999242984	120.07081243999309	3951.5	111.36753550355537	629.3107499061571	0.15925869920439253	3959.0	0.35409579932280194	79.80000000000001	136.0	48759266.0	1.9006893642577125	32.0	2.5984842620474433	170.0	17.588901292555335	108.86031826218742	110.0	49.0	121.0	12.78454299780859	110.97772783205806	-0.10130161793518946	48759266.0	0.3031097162179069	465.48718262161896	0.7448688852566686	0.7957606713944344	0.8987363289482367	0.5843151693667158	0.5927373642326704	0.5660016278319199	0.402656482559696	0.583876392684465	2.094709547483696
1	APL	/home/mikweeh/PythonProjects/08-TFM/data/img/APL/img_1003.jpg	/home/mikweeh/PythonProjects/08-TFM/data/msk/APL/img_1003.png	0.926873544075968	76.26349424401698	86.09297300012354	3500.5	70.68661519356921	354.63455967290696	0.10130968709410283	3501.0	0.5914103450718486	60.0	95.0	21187481.0	1.3050252809954128	19.0	2.922872342475206	128.0	10.917372039049356	76.60982576406741	76.0	41.0	87.0	7.983598708983324	77.79355309883839	0.44787354504573357	21187481.0	0.4424301670530989	182.77150014102145	0.7408911184021932	113.18732894807204	111.61541112229978	4432.0	83.85948673329405	529.9137802864865	0.11956538363864767	4434.0	0.4453480904299833	75.0	129.0	48362559.0	1.8491936816420689	29.0	2.580636139574389	168.0	16.90087921093596	102.37460532250789	102.0	41.0	127.0	12.39864578179688	104.43757806999282	-0.013884815532123493	48362559.0	0.3139393813621686	426.6478981865842	1.2510253140500114	0.6737811992984221	0.7713358946981732	0.44128584935392373	0.8429173364533017	0.6692306802838406	0.8473162048330185	0.4412098298676749	1.3279732366222619
2	APL	/home/mikweeh/PythonProjects/08-TFM/data/img/APL/img_1013.jpg	/home/mikweeh/PythonProjects/08-TFM/data/msk/APL/img_1013.png	0.8083982137274922	102.13779592379157	104.17293314484334	6512.5	82.56801177885623	336.634559672907	0.05169052739699148	6513.0	0.8498066017017311	72.0	111.0	54733683.0	1.4592942630446533	20.0	2.985024341444646	151.0	12.034536178679032	90.42514970059881	89.0	49.0	102.0	8.601841958262929	91.67201916173896	0.3344233176305654	54733683.0	0.4310467515287723	227.05139881453124	0.6227970158806592	158.486526090922	109.00458705944443	1040.5	98.70493550671846	426.31580054003956	0.4097220572225272	1054.0	0.26822209176169093	82.0	152.0	14670041.0	2.152596437849343	39.0	2.487856196009152	198.0	21.5041821343828	115.04459203036053	114.0	56.0	142.0	16.036695344571577	117.97645939566503	0.20449552966420637	14670041.0	0.25148256033759525	683.186816104908	1.2980123428889359	0.6444572825401966	0.9556747652099613	0.8622401694690851	0.8365135072018375	0.7896366009574874	0.1261599820800408	0.8607109818950707	3.1682945879669164
3	APL	/home/mikweeh/PythonProjects/08-TFM/data/img/APL/img_1027.jpg	/home/mikweeh/PythonProjects/08-TFM/data/msk/APL/img_1027.png	0.8623538610037891	103.32236330788339	105.30906893520614	7171.5	89.10043892658948	337.70562748477244	0.04708995711981767	7172.0	0.8889383356877735	59.0	110.0	50427926.0	1.7097125780743754	26.0	3.9513191041605022	179.0	15.959577572694704	81.35805911879531	77.0	38.0	141.0	11.175085324232084	83.8523837061709	0.9876166287592634	50427926.0	0.3541608408357593	412.0884696295223	0.5928306200742474	92.07041160090523	108.70602559196064	817.5	54.58215919985583	311.2619766708767	0.38074859531605715	829.0	0.325628749607265	85.0	137.0	11031916.0	1.7353966742332125	25.0	2.89785107902158	155.0	15.78743410244732	113.65259348612787	117.0	53.0	102.0	11.103526479974182	115.35813014517474	-0.5663573625370028	11031916.0	0.34088914951232535	390.5861844680395	1.4546378540565028	1.1222102900522661	0.968750981021923	0.8976717987232444	1.6324095681217539	1.0849562516331919	0.12367729703829525	0.8963879515060618	2.7299135495864726
4	APL	/home/mikweeh/PythonProjects/08-TFM/data/img/APL/img_1037.jpg	/home/mikweeh/PythonProjects/08-TFM/data/msk/APL/img_1037.png	0.9565577780656468	102.29672344431833	106.06601717798213	7817.5	97.8527264812931	351.3624817342649	0.044945632457213294	7818.0	0.8920382787471792	59.0	109.0	55529395.0	1.7048238811842564	26.0	3.6095592072777434	176.0	15.638825457463772	81.94563827065745	79.0	40.0	136.0	11.160213183382096	84.27788687075844	0.8028166311011501	55529395.0	0.35241423243459985	387.67458381491804	0.3819986470279018	143.74824297597783	111.6288493177279	461.0	54.91163432946163	268.7350647362952	0.5829394028986881	470.0	0.2832246557068501	92.0	153.0	7873919.0	1.955693831440697	30.0	3.0945179965808784	182.0	18.599837030330463	127.27021276595745	132.0	56.0	126.0	12.742796276829038	129.4334545198272	-0.6086076566597096	7873919.0	0.3150565866908104	555.3120914440922	2.504086822055624	0.7116380786749054	0.950166716097625	0.9443135833786314	1.782003534882814	1.3074679408846421	0.07710172315290312	0.9432915057915058	3.149578473388552
5	APL	/home/mikweeh/PythonProjects/08-TFM/data/img/APL/img_1046.jpg	/home/mikweeh/PythonProjects/08-TFM/data/msk/APL/img_1046.png	0.5454368463128524	119.85651460167098	117.44360348695028	5860.5	65.37415933438577	410.04877323528024	0.06996822339992838	5861.0	0.6618152194752195	64.0	100.0	40028784.0	1.3510606215927037	20.0	2.776037298140963	132.0	11.219789829916586	81.47380993004607	81.0	47.0	85.0	8.199351690328061	82.641908476772	0.3136857625548709	40028784.0	0.4382470473260693	191.70333216588674	0.6032139467415809	166.8331260916741	122.12288892750614	4088.0	100.63606843699456	599.5117600329335	0.14665160470472932	4097.0	0.37806168787134153	93.0	137.0	55351737.0	1.573746404775888	23.0	2.845957647942935	168.0	13.376521954275882	115.0205028069319	116.0	60.0	108.0	9.50484509800783	116.23385587113259	-0.21932053198103874	55351737.0	0.3883498459882628	280.59318471179347	0.9042178969156354	0.7184215593719099	0.9616837966932346	0.5890837814745942	0.6496096315141197	0.683971192179374	0.47710506503357747	0.5885720024101225	1.7505482324896204
6	APL	/home/mikweeh/PythonProjects/08-TFM/data/img/APL/img_1089.jpg	/home/mikweeh/PythonProjects/08-TFM/data/msk/APL/img_1089.png	0.7916023925406867	98.42812669878117	98.67117106835208	5831.5	77.91594058805302	319.4213562373104	0.05477516183440117	5832.0	0.8474832485832908	62.0	99.0	38059887.0	1.3848040057915711	20.0	2.7345532804638832	131.0	11.504539661975649	79.5289780521262	78.0	37.0	94.0	8.387835664466841	80.78393233979041	0.3466210422560741	38059887.0	0.42334361904708145	201.1853742642645	0.7058647626704808	91.87764943679133	102.42070103255493	1334.0	64.85319521442236	355.1614716074882	0.2662379847132595	1344.0	0.36454991388997376	71.0	126.0	14040829.0	1.8457604742517078	27.0	2.89730634486978	181.0	16.550478980654763	100.07514880952381	101.0	45.0	136.0	11.75427987172777	102.21078899462992	-0.07471966967660382	14040829.0	0.3173606682256236	432.0099776564271	1.1214646691610397	1.0712956557132685	0.9633908972853931	0.8138301583978788	1.2014202281081396	0.899369390467904	0.20573759185187068	0.8127090301003345	2.32473857842982
7	APL	/home/mikweeh/PythonProjects/08-TFM/data/img/APL/img_1092.jpg	/home/mikweeh/PythonProjects/08-TFM/data/msk/APL/img_1092.png	0.9979667754306247	95.88295935787379	105.90561835898981	7031.5	95.68800776912296	371.46298679765323	0.05282841311208892	7032.0	0.8002273235147358	68.0	111.0	57300026.0	1.573136339957776	22.0	3.178058962529347	158.0	13.163995956725053	88.74260523321956	88.0	44.0	114.0	9.510315638834602	90.26886429553612	0.48004847649704935	57300026.0	0.3930071501512346	273.2178776268668	0.8345282417009053	162.206429002296	128.06248474865697	2935.5	135.36584598786882	687.5950211536191	0.23423437954475185	2943.0	0.27932721483485357	103.0	156.0	51466549.0	1.8804105661566146	27.0	3.5286268940269236	191.0	16.81169193958054	130.48827726809378	132.0	46.0	145.0	11.583634033007531	132.24138623659033	-0.4578531532564439	51466549.0	0.3250853312264779	460.5937293801391	1.1958454196787935	0.5911168869670177	0.8269839412131231	0.7054780776562657	0.7068844217742952	0.540235131683222	0.2255365468329799	0.7049624060150376	2.864838372400819
8	APL	/home/mikweeh/PythonProjects/08-TFM/data/img/APL/img_111.jpg	/home/mikweeh/PythonProjects/08-TFM/data/msk/APL/img_111.png	0.920159733848833	83.50043080953988	89.49301648732151	4949.5	76.8337341899691	287.3208511739221	0.05805048008362908	4950.0	0.8679974553093498	72.0	111.0	42948654.0	1.486915067477963	22.0	2.684949367164952	145.0	12.433694520967249	91.88686868686868	92.0	50.0	95.0	9.083002555577517	93.14770935227423	0.0749730130034627	42948654.0	0.4082542597694112	233.29912049790843	0.7798958530221131	124.60005617824747	109.4440496326776	2613.5	97.17506709973752	626.6244584051418	0.23976447614507052	2623.0	0.28920702763958644	100.0	151.0	43271554.0	1.791379844909351	26.0	3.0831923829974297	191.0	15.872459368131034	126.8905833015631	129.0	59.0	132.0	11.249786366234973	128.44053349430007	-0.4445605398717831	43271554.0	0.3365999387511484	395.75051368949624	1.1798495020626079	0.670147617671117	0.8177056385219946	0.6544360703424567	0.7906733330177103	0.4585216030430715	0.24211459936419183	0.6536379242044104	3.001301394345989
9	APL	/home/mikweeh/PythonProjects/08-TFM/data/img/APL/img_1112.jpg	/home/mikweeh/PythonProjects/08-TFM/data/msk/APL/img_1112.png	0.983478387876033	97.68303453963254	100.96038827183659	7337.5	96.06915333187666	332.0487732352801	0.045253665858300526	7338.0	0.9144861008416117	57.0	106.0	49555265.0	1.6955355497578548	27.0	3.2951094196926087	165.0	15.518898959786313	79.87721449986373	77.0	39.0	126.0	11.22701776273559	82.17809088119304	0.6705571721750698	49555265.0	0.35622306358081357	372.8692246203839	0.46087491667315794	130.3615498597492	102.45974819410792	67.5	60.08036842899564	99.7817459305204	1.4782480878595614	78.0	0.2918809288886893	100.4	154.6	1232683.0	1.822362839837844	28.25	3.5754732468131207	194.0	17.674884944115707	123.6025641025641	119.5	81.0	113.0	11.207596253902183	125.71248229642197	0.7623569746630976	1232683.0	0.3468113083497698	526.0343523997369	2.1339377611940935	0.7493239735545169	0.9853663516776284	0.9908845374746793	1.5990107225359877	3.3277506836419852	0.03061303865701315	0.9894822006472492	3.1330793153339496
10	APL	/home/mikweeh/PythonProjects/08-TFM/data/img/APL/img_1136.jpg	/home/mikweeh/PythonProjects/08-TFM/data/msk/APL/img_1136.png	0.7778241320699909	103.6721310232386	110.35397591387454	6204.5	80.63868533299694	394.91883092036903	0.06365038777022629	6205.0	0.7070505814613939	63.0	104.0	44668480.0	1.497623818048235	22.0	2.6100071450683644	135.0	12.773632244018334	83.38887993553585	83.0	41.0	94.0	9.371217403628119	84.84567210019473	0.11936214637779556	44668480.0	0.4017660110085119	245.08277723054817	0.6463088860135761	153.2430974775532	130.29965464267354	4421.0	99.04237561998725	636.1391770309033	0.14389033635623236	4427.0	0.3705211870681518	81.0	135.0	54631222.0	1.860720622865658	29.0	2.851933623230628	181.0	16.765227076247164	109.10503727128982	110.0	48.0	133.0	11.983151691206201	111.08762874617162	-0.19031762000512742	54631222.0	0.3181246217470887	436.5521024777163	1.2034866747192647	0.676520722497301	0.8469245464733048	0.5839254623311844	0.8141836746969511	0.6208057060148398	0.4423534573763569	0.5836155003762227	1.9082595169688437
11	APL	/home/mikweeh/PythonProjects/08-TFM/data/img/APL/img_1142.jpg	/home/mikweeh/PythonProjects/08-TFM/data/msk/APL/img_1142.png	0.6936453037575027	86.05565210005557	87.09190547921202	3936.5	59.69209894099302	303.4213562373103	0.07707896767110639	3937.0	0.7330167769109232	60.0	94.0	23487841.0	1.3194483435083535	18.0	3.785769352031735	139.0	10.882176990160433	75.99161798323597	74.0	38.0	101.0	7.62432385841957	77.23939115404194	0.7053386452107275	23487841.0	0.4446889538940369	191.19754213701972	0.6916170413408461	116.09404196455391	104.546640309481	3450.5	80.2926178208248	545.9137802864865	0.15821294893102059	3455.0	0.381436185561029	64.0	122.0	31829558.0	1.883136810102847	30.0	2.583489217563789	160.0	17.56837905592055	93.51664254703329	93.0	42.0	118.0	12.801563539756737	95.98232772698323	0.132952625924151	31829558.0	0.30432616166926013	467.24480262041845	1.0029326379996715	0.7412581269789045	0.8330435604759833	0.5328956274536347	0.7434319687296482	0.5558045376287806	0.4871849503589755	0.5326028138528138	1.92172846903022
12	APL	/home/mikweeh/PythonProjects/08-TFM/data/img/APL/img_1147.jpg	/home/mikweeh/PythonProjects/08-TFM/data/msk/APL/img_1147.png	0.820940740331316	114.97351856510164	118.68024266911489	8124.0	94.38644544933085	446.374675043085	0.054945184027952364	8125.0	0.7157977721199856	67.0	112.0	67082133.0	1.6719084711342476	25.0	2.7894428141543712	153.0	14.37605257846154	89.1312	89.0	37.0	116.0	10.47937026439161	90.86397813807693	0.23319604597624952	67082133.0	0.3567664321893491	311.89170963692305	0.833690368934411	147.65144127194904	130.728726758888	1600.0	123.09558454770871	453.386868351905	0.2833667927199406	1609.0	0.3127490405442959	105.0	159.0	29502029.0	1.9073228365551638	30.0	3.4045285733232893	194.0	17.592810175515986	133.60658794282162	136.0	51.0	143.0	12.506126528664462	135.40912157272246	-0.6478120836693501	29502029.0	0.3052789989188379	484.9098633734034	0.9847069978517432	0.7786819930415703	0.9078359868677145	0.8354586589880707	0.7667736076491767	0.9845337529639757	0.19390128074130494	0.8347031025272241	2.2887289146410805
